井名	深度	SH	SS	RT	RT	PERM2024	PERM	POR2024	POR	SW	SW2024	AC	SP	CAL	GR	DEN	CNL	RT	解释结论	层位
耿181	2382.375	99.9	0.1	9.917	9.353	0.0	0.01	0.0	0.1	99.9	0.0	268.603	109.883	22.226	148.017	2.469	31.446	9.917		长4+5!1^(1_2)
耿181	2382.500	99.9	0.1	9.795	9.45	0.0	0.01	0.0	0.1	99.9	0.0	262.933	110.03	22.086	146.111	2.499	31.065	9.795		长4+5!1^(1_2)
耿181	2382.625	99.311	0.689	9.806	9.59	0.0	0.01	0.0	0.1	99.9	0.0	256.652	110.1	21.988	142.733	2.519	29.129	9.806		长4+5!1^(1_2)
耿181	2382.750	89.645	10.355	9.931	9.79	0.0	0.01	0.0	0.1	99.9	0.0	250.796	110.108	21.938	134.039	2.536	26.24	9.931		长4+5!1^(1_2)
耿181	2382.875	69.842	30.158	10.151	10.045	0.0	0.01	0.0	0.1	99.9	0.0	246.074	110.055	21.922	121.374	2.55	23.91	10.151		长4+5!1^(1_2)
耿181	2383.000	53.074	46.926	10.429	10.335	0.0	0.01	0.0	0.1	99.9	0.0	242.29	109.949	21.918	108.71	2.562	22.599	10.429		长4+5!1^(1_2)
耿181	2383.125	46.077	53.923	10.713	10.62	0.0	0.01	0.0	0.1	99.9	0.0	239.926	109.787	21.916	102.619	2.575	22.29	10.713		长4+5!1^(1_2)
耿181	2383.250	46.961	53.039	10.965	10.853	0.0	0.01	0.0	0.1	99.9	0.0	238.702	109.586	21.914	103.405	2.591	22.497	10.965		长4+5!1^(1_2)
耿181	2383.375	49.446	50.554	11.185	10.991	0.0	0.01	0.0	0.1	99.9	0.0	238.556	109.356	21.913	105.61	2.605	23.049	11.185		长4+5!1^(1_2)
耿181	2383.500	49.041	50.959	11.408	11.038	0.0	0.01	0.0	0.1	99.9	0.0	240.588	109.102	21.911	105.261	2.615	23.24	11.408		长4+5!1^(1_2)
耿181	2383.625	47.687	52.313	11.693	11.101	0.0	0.01	0.0	0.1	99.9	0.0	243.292	108.833	21.902	104.062	2.618	22.455	11.693		长4+5!1^(1_3)
耿181	2383.750	51.479	48.521	12.059	11.351	0.0	0.01	0.0	0.1	99.9	0.0	245.596	108.56	21.887	107.315	2.611	21.644	12.059		长4+5!1^(1_3)
耿181	2383.875	60.59	39.41	12.488	11.887	0.0	0.01	0.0	0.1	99.9	0.0	246.379	108.291	21.88	114.655	2.602	21.75	12.488		长4+5!1^(1_3)
耿181	2384.000	71.465	28.535	12.899	12.646	0.0	0.01	0.0	0.1	99.9	0.0	244.718	108.031	21.943	122.629	2.599	23.182	12.899		长4+5!1^(1_3)
耿181	2384.125	74.798	25.202	13.108	13.32	0.0	0.01	0.0	0.1	99.9	0.0	240.63	107.79	22.212	124.886	2.598	24.238	13.108		长4+5!1^(1_3)
耿181	2384.250	68.731	31.269	13.003	13.521	0.0	0.01	0.0	0.1	99.9	0.0	236.45	107.572	22.712	120.684	2.6	23.721	13.002		长4+5!1^(1_3)
耿181	2384.375	58.898	41.102	12.548	13.037	0.0	0.01	0.0	0.1	99.9	0.0	233.242	107.382	23.393	113.378	2.602	21.996	12.547		长4+5!1^(1_3)
耿181	2384.500	52.349	47.651	11.8	11.897	0.0	0.01	0.0	0.1	99.9	0.0	231.544	107.223	24.118	108.102	2.591	20.122	11.8		长4+5!1^(1_3)
耿181	2384.625	52.044	47.956	10.885	10.328	0.0	0.01	0.0	0.1	99.9	0.0	232.86	107.105	24.706	107.842	2.538	19.074	10.885		长4+5!1^(1_3)
耿181	2384.750	53.907	46.093	9.996	8.77	0.0	0.01	0.0	0.1	99.9	0.0	239.683	107.026	25.126	109.391	2.466	19.204	9.995		长4+5!1^(1_3)
