井名	深度	GR	SP	SH	SS	RT	RT.1	PERM2024	PERM	POR2024	POR	SW	SW2024	AC	DEN	CAL	CNL	RT.2	解释结论	层位
耿219	2426.875	142.106	84.795	99.9	0.1	15.074	11.982	0.0	0.01	0.0	0.1	99.9	0.0	256.5	2.545	23.058	32.796	15.074		长4+5!1^(1_2)
耿219	2427.000	144.771	84.825	99.9	0.1	14.971	12.361	0.0	0.01	0.0	0.1	99.9	0.0	272.67	2.536	23.104	43.022	14.971		长4+5!1^(1_2)
耿219	2427.125	143.374	84.794	99.9	0.1	14.591	12.941	0.0	0.01	0.0	0.1	99.9	0.0	278.132	2.543	23.108	44.423	14.591		长4+5!1^(1_2)
耿219	2427.250	140.318	84.677	99.9	0.1	14.324	13.403	0.0	0.01	0.0	0.1	99.9	0.0	278.213	2.559	23.085	40.938	14.324		长4+5!1^(1_2)
耿219	2427.375	134.863	84.45	89.856	10.144	14.245	13.917	0.0	0.01	0.0	0.1	99.9	0.0	268.794	2.576	23.014	35.047	14.245		长4+5!1^(1_2)
耿219	2427.500	127.18	84.245	76.107	23.893	14.198	14.839	0.0	0.01	0.0	0.1	99.9	0.0	250.763	2.588	22.954	26.457	14.198		长4+5!1^(1_2)
耿219	2427.625	121.831	84.103	67.452	32.548	14.055	16.273	0.0	0.01	0.0	0.1	99.9	0.0	239.82	2.591	22.938	23.895	14.055		长4+5!1^(1_2)
耿219	2427.750	117.54	83.967	61.005	38.995	14.035	16.113	0.0	0.01	0.0	0.1	99.9	0.0	231.802	2.588	22.948	22.415	14.035		长4+5!1^(1_2)
耿219	2427.875	114.667	83.83	56.922	43.078	14.101	14.537	0.0	0.01	0.0	0.1	99.9	0.0	228.13	2.586	23.015	21.966	14.101		长4+5!1^(1_2)
耿219	2428.000	114.938	83.792	57.299	42.701	14.169	13.061	0.0	0.01	0.0	0.1	99.9	0.0	229.583	2.586	23.1	23.882	14.169		长4+5!1^(1_2)
耿219	2428.125	119.528	83.875	63.939	36.061	14.327	12.323	0.0	0.01	0.0	0.1	99.9	0.0	234.059	2.586	23.177	26.618	14.327		长4+5!1^(1_2)
耿219	2428.250	123.566	84.078	70.181	29.819	14.418	12.228	0.0	0.01	0.0	0.1	99.9	0.0	239.478	2.584	23.264	30.175	14.418		长4+5!1^(1_2)
耿219	2428.375	127.818	84.4	77.188	22.812	14.401	12.126	0.0	0.01	0.0	0.1	99.9	0.0	245.544	2.578	23.4	33.617	14.401		长4+5!1^(1_2)
耿219	2428.500	131.858	84.726	84.285	15.715	14.277	11.857	0.0	0.01	0.0	0.1	99.9	0.0	251.387	2.566	23.519	36.171	14.277		长4+5!1^(1_2)
耿219	2428.625	131.315	85.009	83.305	16.695	14.105	12.04	0.0	0.01	0.0	0.1	99.9	0.0	251.834	2.554	23.586	35.494	14.105		长4+5!1^(1_2)
耿219	2428.750	128.859	85.31	78.974	21.026	13.981	12.801	0.0	0.01	0.0	0.1	99.9	0.0	251.038	2.551	23.647	34.761	13.981		长4+5!1^(1_2)
耿219	2428.875	124.773	85.639	72.124	27.876	13.81	14.041	0.0	0.01	0.0	0.1	99.9	0.0	249.859	2.553	23.737	34.416	13.81		长4+5!1^(1_2)
耿219	2429.000	118.111	85.866	61.839	38.161	13.612	15.176	0.0	0.01	0.0	0.1	99.9	0.0	248.916	2.563	23.812	33.392	13.612		长4+5!1^(1_2)
耿219	2429.125	115.456	85.962	58.026	41.974	13.533	15.219	0.0	0.01	0.0	0.1	99.9	0.0	248.65	2.576	23.836	31.8	13.533		长4+5!1^(1_2)
耿219	2429.250	114.89	86.013	57.232	42.768	13.647	14.806	0.0	0.01	0.0	0.1	99.9	0.0	247.793	2.584	23.831	29.761	13.647		长4+5!1^(1_2)
耿219	2429.375	114.764	86.06	57.057	42.943	13.827	14.864	0.0	0.01	0.0	0.1	99.9	0.0	245.7	2.591	23.774	27.976	13.827		长4+5!1^(1_2)
耿219	2429.500	117.097	86.086	60.364	39.636	14.022	15.515	0.0	0.01	0.0	0.1	99.9	0.0	241.773	2.602	23.705	27.068	14.022		长4+5!1^(1_2)
耿219	2429.625	119.277	86.085	63.564	36.436	14.381	16.008	0.0	0.01	0.0	0.1	99.9	0.0	240.116	2.615	23.659	27.92	14.381		长4+5!1^(1_2)
耿219	2429.750	122.389	86.071	68.322	31.678	14.564	15.9	0.0	0.01	0.0	0.1	99.9	0.0	239.102	2.624	23.611	29.331	14.564		长4+5!1^(1_2)
耿219	2429.875	126.803	86.061	75.473	24.527	14.588	15.598	0.0	0.01	0.0	0.1	99.9	0.0	238.595	2.633	23.511	30.763	14.588		长4+5!1^(1_2)
耿219	2430.000	133.103	86.059	86.561	13.439	14.589	15.53	0.0	0.01	0.0	0.1	99.9	0.0	238.479	2.643	23.39	32.328	14.589		长4+5!1^(1_2)
耿219	2430.125	134.956	86.07	90.032	9.968	14.459	15.903	0.0	0.01	0.0	0.1	99.9	0.0	238.728	2.65	23.297	32.557	14.459		长4+5!1^(1_2)
耿219	2430.250	134.586	86.128	89.332	10.668	14.31	16.112	0.0	0.01	0.0	0.1	99.9	0.0	239.03	2.65	23.21	32.419	14.31		长4+5!1^(1_2)
