井名	深度	SH	SS	RT	RT.1	SP	AC	PERM2024	PERM	POR2024	POR	SW	SW2024	GR	CAL	DEN	CNL	RT.2	解释结论	层位
耿60	2375.000	80.572	19.428	21.457	10.343	85.799	258.437	0.0	0.01	0.0	0.1	99.9	0.0	125.856	26.912	2.337	25.2	17.726		长4+5!1^(1_2)
耿60	2375.125	73.87	26.13	32.134	14.622	87.027	259.457	0.0	0.01	0.0	0.1	99.9	0.0	120.506	26.786	2.399	23.9	27.859		长4+5!1^(1_2)
耿60	2375.250	68.851	31.149	35.675	25.949	88.021	255.7	0.0	0.01	0.0	0.1	99.9	0.0	117.787	25.183	2.414	25.76	34.257		长4+5!1^(1_2)
耿60	2375.375	66.072	33.928	30.663	25.61	89.056	248.648	0.0	0.01	0.0	0.1	99.9	0.0	115.965	23.92	2.417	27.71	32.67		长4+5!1^(1_2)
耿60	2375.500	64.691	35.309	10.019	12.943	90.083	243.732	0.0	0.01	0.0	0.1	99.9	0.0	115.338	23.617	2.429	27.17	18.285		长4+5!1^(1_2)
耿60	2375.625	65.289	34.711	6.818	11.468	90.869	241.161	0.0	0.01	0.0	0.1	99.9	0.0	116.559	23.939	2.469	22.95	8.099		长4+5!1^(1_2)
耿60	2375.750	64.28	35.72	8.294	13.61	91.382	239.102	0.0	0.01	0.0	0.1	99.9	0.0	114.375	24.088	2.546	18.85	7.703		长4+5!1^(1_2)
耿60	2375.875	64.184	35.816	11.379	16.288	92.488	235.042	0.0	0.01	0.0	0.1	99.9	0.0	115.71	23.375	2.601	17.2	10.144		长4+5!1^(1_3)
耿60	2376.000	64.227	35.773	10.696	17.376	92.978	232.262	0.0	0.01	0.0	0.1	99.9	0.0	114.879	23.018	2.647	16.48	10.97		长4+5!1^(1_3)
耿60	2376.125	62.452	37.548	10.101	14.634	93.179	233.579	0.0	0.01	0.0	0.1	99.9	0.0	112.998	22.911	2.672	16.24	10.339		长4+5!1^(1_3)
耿60	2376.250	60.724	39.276	8.998	12.325	93.471	235.019	0.0	0.01	0.0	0.1	99.9	0.0	111.851	22.849	2.673	16.61	9.44		长4+5!1^(1_3)
耿60	2376.375	60.517	39.483	9.272	12.489	93.879	235.525	0.0	0.01	0.0	0.1	99.9	0.0	112.328	22.831	2.673	18.23	9.162		长4+5!1^(1_3)
耿60	2376.500	65.461	34.539	8.979	11.324	94.135	239.088	0.0	0.01	0.0	0.1	99.9	0.0	118.701	22.798	2.659	20.06	9.096		长4+5!1^(1_3)
耿60	2376.625	74.325	25.675	9.067	11.622	94.065	245.276	0.0	0.01	0.0	0.1	99.9	0.0	125.792	22.776	2.644	21.59	9.032		长4+5!1^(1_3)
耿60	2376.750	82.902	17.098	9.988	12.417	94.207	248.69	0.0	0.01	0.0	0.1	99.9	0.0	131.252	22.763	2.625	22.1	9.619		长4+5!1^(1_3)
耿60	2376.875	89.716	10.284	9.969	12.285	94.474	249.018	0.0	0.01	0.0	0.1	99.9	0.0	135.18	22.745	2.606	21.77	9.976		长4+5!1^(1_3)
耿60	2377.000	95.046	4.954	10.557	11.996	94.499	246.868	0.0	0.01	0.0	0.1	99.9	0.0	138.185	22.717	2.593	21.08	10.321		长4+5!1^(1_3)
耿60	2377.125	96.427	3.573	10.49	11.938	94.038	242.148	0.0	0.01	0.0	0.1	99.9	0.0	137.617	22.702	2.583	19.6	10.517		长4+5!1^(1_3)
耿60	2377.250	89.251	10.749	10.682	14.034	88.303	237.401	0.0	0.01	0.0	0.1	99.9	0.0	130.335	22.662	2.578	18.09	10.605		长4+5!1^(1_3)
耿60	2377.375	75.606	24.394	11.729	14.592	85.47	231.792	0.0	0.01	0.0	0.1	99.9	0.0	119.411	22.633	2.577	16.71	11.31		长4+5!1^(1_3)
耿60	2377.500	61.675	38.325	12.492	13.362	84.75	226.513	0.0	0.01	0.0	0.1	99.9	0.0	108.606	22.594	2.579	15.85	12.186		长4+5!1^(1_3)
耿60	2377.625	51.832	48.168	13.939	15.18	84.803	221.675	0.0	0.01	0.0	0.1	99.9	0.0	101.517	22.52	2.586	15.28	13.36		长4+5!1^(1_3)
耿60	2377.750	48.143	51.857	13.417	13.55	84.992	218.709	0.0	0.01	0.0	0.1	99.9	0.0	100.516	22.403	2.593	14.22	13.626		长4+5!1^(1_3)
耿60	2377.875	46.325	53.675	11.792	11.522	84.786	220.33	0.0	0.01	0.0	0.1	99.9	0.0	98.186	22.392	2.603	14.1	12.443		长4+5!1^(1_3)
耿60	2378.000	44.701	55.299	10.433	10.131	84.286	218.752	0.0	0.01	0.0	0.1	99.9	0.0	97.027	22.389	2.602	14.17	10.977		长4+5!1^(1_3)
耿60	2378.125	42.872	57.128	10.913	9.86	83.722	219.74	0.0	0.01	0.0	0.1	99.9	0.0	94.651	22.39	2.584	15.23	10.72		长4+5!1^(1_3)
耿60	2378.250	41.005	58.995	10.737	10.918	83.08	225.466	0.0	0.01	0.0	0.1	99.9	0.0	92.962	22.391	2.551	17.78	10.807		长4+5!1^(1_3)
耿60	2378.375	41.001	58.999	9.389	9.494	82.378	233.141	0.0	0.01	0.0	0.1	99.9	0.0	94.087	22.391	2.506	22.02	9.928		长4+5!1^(1_3)
耿60	2378.500	42.539	57.461	8.589	7.802	82.02	239.45	0.0	0.01	0.0	0.1	99.9	0.0	96.039	22.388	2.454	27.76	8.909		长4+5!1^(1_3)
