井名	深度	GR	SP	SH	AT90	AC	PERM	POR	SW	CNL	DEN	RT	解释结论	层位
涧39	2276.750	106.357	68.905	58.027	10.168	285.835	0.01	0.1	99.9	35.79	2.36	10.2		chang4+5
涧39	2276.875	102.197	67.961	56.997	9.573	263.876	0.01	0.1	99.9	30.901	2.424	9.597		chang4+5
涧39	2277.000	104.479	67.013	62.062	9.109	252.875	0.01	0.1	99.9	29.127	2.472	9.14		chang4+5
涧39	2277.125	107.248	66.052	64.943	8.527	254.37	0.01	0.1	99.9	29.475	2.497	8.552		chang4+5
涧39	2277.250	107.707	65.05	64.346	8.075	263.673	0.01	0.1	99.9	31.047	2.501	8.082		chang4+5
涧39	2277.375	107.029	64.004	63.263	7.967	274.281	0.01	0.1	99.9	33.441	2.496	7.952		chang4+5
涧39	2277.500	106.742	62.926	63.245	8.271	285.34	0.01	0.1	99.9	35.795	2.488	8.227		chang4+5
涧39	2277.625	107.824	61.828	65.503	9.169	295.717	0.01	0.1	99.9	36.975	2.478	9.07		chang4+5
涧39	2277.750	106.952	60.706	62.501	11.099	297.602	0.01	0.1	99.9	36.568	2.466	10.949		chang4+5
涧39	2277.875	99.425	59.572	49.687	13.891	284.177	0.01	0.1	99.9	34.037	2.458	13.785		chang4+5
涧39	2278.000	84.918	58.462	19.144	15.791	258.565	0.466	12.477	55.23	29.114	2.463	15.793	干层	chang4+5
涧39	2278.125	72.644	57.438	14.554	15.699	233.01	0.359	11.761	58.672	23.422	2.481	15.753	干层	chang4+5
涧39	2278.250	67.957	56.591	13.717	14.688	218.156	0.229	10.617	67.201	19.235	2.507	14.733	干层	chang4+5
涧39	2278.375	69.113	55.942	14.946	13.871	211.125	0.125	9.25	79.452	17.195	2.538	13.885	干层	chang4+5
涧39	2278.500	71.377	55.518	15.839	13.638	208.343	0.066	8.013	92.635	16.663	2.565	13.612	干层	chang4+5
涧39	2278.625	73.362	55.356	16.75	14.174	209.108	0.044	7.288	99.9	17.309	2.579	14.099	干层	chang4+5
涧39	2278.750	77.728	55.519	19.427	15.626	214.291	0.045	7.33	94.794	19.206	2.577	15.533	干层	chang4+5
涧39	2278.875	85.813	55.942	24.211	17.347	224.08	0.058	7.764	84.792	22.223	2.567	17.304	干层	chang4+5
涧39	2279.000	95.167	56.561	52.717	18.063	239.561	0.01	0.1	99.9	25.667	2.554	18.123		chang4+5
涧39	2279.125	103.015	57.34	61.562	16.848	258.568	0.01	0.1	99.9	28.526	2.518	16.988		chang4+5
涧39	2279.250	106.589	58.243	63.849	14.197	274.755	0.01	0.1	99.9	30.313	2.485	14.331		chang4+5
涧39	2279.375	105.582	59.195	60.592	11.746	283.834	0.01	0.1	99.9	31.122	2.473	11.799		chang4+5
涧39	2279.500	104.43	60.163	60.0	10.832	284.318	0.01	0.1	99.9	31.231	2.466	10.807		chang4+5
涧39	2279.625	104.057	61.102	59.577	11.341	276.087	0.01	0.1	99.9	31.131	2.494	11.287		chang4+5
涧39	2279.750	104.265	61.942	60.214	12.297	262.551	0.01	0.1	99.9	31.166	2.524	12.307		chang4+5
涧39	2279.875	105.825	62.659	63.015	12.028	254.511	0.01	0.1	99.9	31.264	2.519	12.113		chang4+5
涧39	2280.000	107.311	63.233	64.555	10.401	258.263	0.01	0.1	99.9	31.327	2.453	10.491		chang4+5
涧39	2280.125	106.968	63.641	63.028	8.724	269.246	0.01	0.1	99.9	31.434	2.347	8.781		chang4+5
涧39	2280.250	104.995	63.849	59.848	7.666	274.139	0.01	0.1	99.9	31.665	2.333	7.695		chang4+5
涧39	2280.375	103.534	63.928	58.628	7.128	268.088	0.01	0.1	99.9	32.111	2.361	7.137		chang4+5
