井名	深度	GR	SP	SH	AT90	AC	PERM	POR	SW	DEN	RT	解释结论	层位
地308-61	2341.750	71.424	52.830	22.013	80.575	213.475	0.010	0.100	99.900	2.551	79.062		chang4+5
地308-61	2341.875	74.756	53.179	13.590	72.487	218.257	0.463	10.871	42.799	2.518	68.799		chang4+5
地308-61	2342.000	80.483	53.598	16.205	63.700	222.845	0.546	11.285	44.098	2.497	60.839		chang4+5
地308-61	2342.125	84.325	54.124	17.275	58.343	226.002	0.600	11.531	44.761	2.490	56.942		chang4+5
地308-61	2342.250	85.294	54.558	17.400	56.807	227.208	0.610	11.575	44.698	2.491	56.731		chang4+5
地308-61	2342.375	84.654	55.032	17.024	58.755	227.577	0.618	11.606	43.406	2.490	59.890		chang4+5
地308-61	2342.500	82.999	55.757	16.310	64.742	227.581	0.614	11.589	40.946	2.485	67.464	干层	chang4+5
地308-61	2342.625	78.944	56.589	14.448	74.618	227.072	0.598	11.522	38.116	2.480	78.631	干层	chang4+5
地308-61	2342.750	73.636	57.421	12.555	86.134	225.632	0.558	11.342	36.035	2.485	90.343	干层	chang4+5
地308-61	2342.875	70.945	58.276	11.874	95.444	222.598	0.485	10.983	35.493	2.505	98.306	干层	chang4+5
地308-61	2343.000	70.399	59.164	11.358	100.902	217.670	0.387	10.438	36.311	2.538	102.359	干层	chang4+5
地308-61	2343.125	70.567	60.041	10.959	104.027	211.621	0.010	9.828	37.728	2.572	104.963	干层	chang4+5
地308-61	2343.250	70.035	60.832	10.331	103.710	206.741	0.010	9.431	39.432	2.588	103.007	干层	chang4+5
地308-61	2343.375	69.472	61.530	10.227	96.284	205.130	0.010	9.410	41.688	2.582	92.512	干层	chang4+5
地308-61	2343.500	69.643	62.177	10.644	82.214	207.411	0.010	9.767	44.442	2.559	76.438	干层	chang4+5
地308-61	2343.625	71.558	62.805	11.966	67.794	212.661	0.375	10.362	46.592	2.529	62.944	干层	chang4+5
地308-61	2343.750	72.822	63.391	12.615	58.834	218.789	0.479	10.956	46.905	2.506	56.528	干层	chang4+5
地308-61	2343.875	73.916	63.889	13.449	56.320	223.725	0.564	11.370	45.590	2.496	56.204	干层	chang4+5
地308-61	2344.000	76.474	64.280	14.687	57.119	226.648	0.612	11.581	44.330	2.501	57.632	干层	chang4+5
地308-61	2344.125	79.371	64.579	15.699	56.323	227.950	0.630	11.660	44.879	2.519	55.588	干层	chang4+5
地308-61	2344.250	84.941	64.805	18.294	52.832	228.356	0.634	11.677	46.666	2.541	51.285	干层	chang4+5
地308-61	2344.375	91.178	64.969	20.491	49.657	228.359	0.632	11.668	47.899	2.550	48.744	干层	chang4+5
地308-61	2344.500	93.315	65.089	20.562	47.776	228.444	0.636	11.686	48.596	2.546	47.232	干层	chang4+5
地308-61	2344.625	89.392	65.201	18.305	43.522	229.341	0.667	11.811	51.415	2.541	41.441	干层	chang4+5
