井名	深度	GR	SP	SH	RT	AC	PERM	POR	SW	CNL	DEN	RT.1	解释结论	层位
地199-48	2303.125	67.933	-7.578	9.691	35.286	210.233	0.01	9.123	44.368	9.464	2.645	35.204		chang4+5
地199-48	2303.250	67.454	-8.065	9.673	35.743	210.897	0.01	9.142	43.92	9.885	2.63	35.804		chang4+5
地199-48	2303.375	68.405	-8.409	10.188	35.227	213.903	0.01	9.498	42.793	11.413	2.594	35.358		chang4+5
地199-48	2303.500	68.868	-8.606	10.578	34.273	218.642	2.134	10.124	41.107	13.284	2.546	34.404		chang4+5
地199-48	2303.625	67.263	-8.652	10.382	33.312	224.093	3.215	10.879	39.237	15.281	2.503	33.441		chang4+5
地199-48	2303.750	66.605	-8.546	10.683	32.361	228.775	4.663	11.619	37.654	16.948	2.482	32.495		chang4+5
地199-48	2303.875	66.166	-8.28	10.743	31.372	231.004	5.303	11.927	37.399	17.884	2.482	31.518		chang4+5
地199-48	2304.000	63.434	-7.828	9.733	30.308	233.319	5.983	12.235	37.239	18.211	2.487	30.453		chang4+5
地199-48	2304.125	60.907	-7.195	9.345	29.283	235.456	6.899	12.597	36.979	17.966	2.498	29.397		chang4+5
地199-48	2304.250	62.588	-6.432	10.082	28.468	235.288	6.871	12.648	37.386	17.072	2.512	28.563		chang4+5
地199-48	2304.375	65.185	-5.582	10.593	27.721	232.807	5.813	12.355	38.607	15.763	2.529	27.866		chang4+5
地199-48	2304.500	66.485	-4.683	10.769	26.521	228.968	4.3	11.834	40.825	13.811	2.546	26.801		chang4+5
地199-48	2304.625	69.719	-3.769	11.612	24.333	225.068	2.956	11.274	44.257	11.546	2.572	24.751		chang4+5
地199-48	2304.750	76.715	-2.867	13.677	21.219	222.92	2.011	10.815	48.965	10.333	2.604	21.689		chang4+5
地199-48	2304.875	88.829	-1.996	35.914	17.85	225.869	0.01	0.1	99.9	11.25	2.634	18.252		chang4+5
地199-48	2305.000	109.059	-1.168	57.924	15.036	232.45	0.01	0.1	99.9	14.603	2.642	15.311		chang4+5
地199-48	2305.125	128.618	-0.4	85.349	13.175	241.385	0.01	0.1	99.9	19.198	2.613	13.304		chang4+5
地199-48	2305.250	136.334	0.287	94.209	12.352	251.063	0.01	0.1	99.9	23.18	2.546	12.36		chang4+5
地199-48	2305.375	132.117	0.873	86.131	12.317	259.049	0.01	0.1	99.9	25.515	2.507	12.301		chang4+5
地199-48	2305.500	122.15	1.333	71.0	12.408	263.635	0.01	0.1	99.9	25.504	2.529	12.414		chang4+5
地199-48	2305.625	111.791	1.668	57.435	12.31	264.762	0.01	0.1	99.9	22.292	2.596	12.371		chang4+5
