井名	深度	GR	SP	SH	SS	RT	RT.1	AC	PERM2024	PERM	POR2024	POR	SW	SW2024	CAL	DEN	CNL	RT.2	解释结论	层位
耿203	2231.250	88.972	61.032	42.179	57.821	8.674	6.796	247.749	0.0	0.01	0.0	0.1	99.9	0.0	28.428	2.096	34.529	8.581		长4+5!1^(1_1)
耿203	2231.375	86.928	61.37	40.475	59.525	8.533	6.96	257.24	0.0	0.01	0.0	0.1	99.9	0.0	29.112	2.141	42.392	8.462		长4+5!1^(1_1)
耿203	2231.500	85.731	61.773	39.573	60.427	8.447	7.403	265.656	0.0	0.01	0.0	0.1	99.9	0.0	29.454	2.218	45.58	8.425		长4+5!1^(1_1)
耿203	2231.625	84.903	62.219	37.946	62.054	8.456	7.966	268.117	0.0	0.01	0.0	0.1	99.9	0.0	29.482	2.306	42.184	8.502		长4+5!1^(1_1)
耿203	2231.750	83.796	62.555	37.546	62.454	8.566	8.691	262.207	0.0	0.01	0.0	0.1	99.9	0.0	28.993	2.4	35.44	8.661		长4+5!1^(1_1)
耿203	2231.875	83.717	62.798	38.672	61.328	8.845	10.267	251.299	0.0	0.01	0.0	0.1	99.9	0.0	28.185	2.475	28.35	9.12		长4+5!1^(1_2)
耿203	2232.000	84.369	63.017	38.197	61.803	9.401	13.13	238.069	0.0	0.01	0.0	0.1	99.9	0.0	27.422	2.499	23.218	9.822		长4+5!1^(1_2)
耿203	2232.125	83.837	63.184	36.803	63.197	10.108	15.973	225.855	0.0	0.01	0.0	0.1	99.9	0.0	26.69	2.507	20.445	10.535		长4+5!1^(1_2)
耿203	2232.250	82.578	63.215	34.7	65.3	10.917	17.624	219.92	0.0	0.01	0.0	0.1	99.9	0.0	26.041	2.531	18.521	11.489		长4+5!1^(1_2)
耿203	2232.375	80.654	63.11	31.711	68.289	12.39	18.251	217.934	0.0	0.01	0.0	0.1	99.9	0.0	25.658	2.563	16.567	13.738		长4+5!1^(1_2)
耿203	2232.500	78.262	62.943	29.946	70.054	15.061	18.186	215.243	0.0	0.01	0.0	0.1	99.9	0.0	25.582	2.579	14.889	17.042		长4+5!1^(1_2)
耿203	2232.625	76.672	62.764	28.217	71.783	18.186	18.429	210.655	0.0	0.01	0.0	0.1	99.9	0.0	25.568	2.582	13.723	19.899		长4+5!1^(1_2)
耿203	2232.750	74.541	62.609	23.824	76.176	21.089	19.498	206.03	0.0	0.01	0.0	0.1	99.9	0.0	25.589	2.584	12.792	22.871		长4+5!1^(1_2)
耿203	2232.875	69.856	62.469	17.878	82.122	23.825	21.14	202.071	0.0	0.01	0.0	0.1	99.9	0.0	25.631	2.586	11.921	25.254		长4+5!1^(1_2)
耿203	2233.000	63.958	62.348	14.343	85.657	25.421	22.46	198.372	0.0	0.01	0.0	0.1	99.9	0.0	25.683	2.582	11.263	25.671		长4+5!1^(1_2)
耿203	2233.125	60.009	62.266	11.749	88.251	24.954	21.789	195.59	0.0	0.01	0.0	0.1	99.9	0.0	25.771	2.555	10.904	23.879		长4+5!1^(1_2)
耿203	2233.250	57.223	62.24	10.969	89.031	23.006	19.129	195.432	0.0	0.01	0.0	0.1	99.9	0.0	25.933	2.462	11.033	21.7		长4+5!1^(1_2)
耿203	2233.375	56.787	62.273	12.422	87.578	20.693	16.046	198.261	0.0	0.01	0.0	0.1	99.9	0.0	26.137	2.284	12.211	19.186		长4+5!1^(1_2)
耿203	2233.500	58.831	62.406	14.672	85.328	18.216	13.349	206.809	0.0	0.01	0.0	0.1	99.9	0.0	26.334	2.142	14.875	16.762		长4+5!1^(1_2)
耿203	2233.625	61.559	62.682	16.85	83.15	16.311	11.961	222.386	0.0	0.01	0.0	0.1	99.9	0.0	26.61	2.066	19.238	15.636		长4+5!1^(1_2)
耿203	2233.750	64.33	62.967	20.091	79.909	15.261	11.75	236.668	0.0	0.01	0.0	0.1	99.9	0.0	27.042	2.028	25.303	14.699		长4+5!1^(1_2)
耿203	2233.875	68.045	63.239	24.061	75.939	14.224	11.687	246.255	0.0	0.01	0.0	0.1	99.9	0.0	27.492	2.034	31.071	13.514		长4+5!1^(1_2)
耿203	2234.000	71.976	63.564	27.231	72.769	12.977	11.604	249.874	0.0	0.01	0.0	0.1	99.9	0.0	27.771	2.077	32.78	12.175		长4+5!1^(1_2)
耿203	2234.125	75.194	63.96	31.221	68.779	11.887	11.502	245.427	0.0	0.01	0.0	0.1	99.9	0.0	27.975	2.147	30.125	11.457		长4+5!1^(1_2)
耿203	2234.250	78.543	64.254	33.516	66.484	11.212	11.42	237.32	0.0	0.01	0.0	0.1	99.9	0.0	28.101	2.239	26.042	10.845		长4+5!1^(1_2)
耿203	2234.375	80.035	64.454	32.804	67.196	10.562	11.184	230.024	0.0	0.01	0.0	0.1	99.9	0.0	28.178	2.321	22.693	10.138		长4+5!1^(1_2)
耿203	2234.500	79.485	64.627	32.487	67.513	9.826	10.591	226.658	0.0	0.01	0.0	0.1	99.9	0.0	28.283	2.309	21.455	9.358		长4+5!1^(1_2)
耿203	2234.625	79.398	64.709	33.269	66.731	9.197	9.819	229.763	0.0	0.01	0.0	0.1	99.9	0.0	28.55	2.231	22.629	8.955		长4+5!1^(1_2)
耿203	2234.750	80.293	64.672	35.32	64.68	8.822	9.087	237.17	0.0	0.01	0.0	0.1	99.9	0.0	29.112	2.142	25.772	8.621		长4+5!1^(1_2)
耿203	2234.875	82.368	64.562	39.462	60.538	8.495	8.266	246.001	0.0	0.01	0.0	0.1	99.9	0.0	29.75	2.052	30.202	8.306		长4+5!1^(1_2)
耿203	2235.000	85.591	64.449	42.805	57.195	8.189	7.46	255.54	0.0	0.01	0.0	0.1	99.9	0.0	30.127	2.009	33.829	8.015		长4+5!1^(1_2)
耿203	2235.125	87.953	64.403	44.729	55.271	7.962	7.015	264.693	0.0	0.01	0.0	0.1	99.9	0.0	30.371	2.015	35.402	7.883		长4+5!1^(1_2)
耿203	2235.250	89.469	64.435	47.226	52.774	7.837	7.037	269.206	0.0	0.01	0.0	0.1	99.9	0.0	30.443	2.049	35.591	7.769		长4+5!1^(1_2)
耿203	2235.375	91.415	64.497	50.745	49.255	7.731	7.223	269.925	0.0	0.01	0.0	0.1	99.9	0.0	30.368	2.116	35.173	7.674		长4+5!1^(1_2)
耿203	2235.500	93.248	64.587	49.707	50.293	7.66	7.562	269.079	0.0	0.01	0.0	0.1	99.9	0.0	30.23	2.179	34.971	7.64		长4+5!1^(1_2)
耿203	2235.625	92.427	64.795	47.94	52.06	7.677	7.98	267.065	0.0	0.01	0.0	0.1	99.9	0.0	30.068	2.227	35.535	7.732		长4+5!1^(1_2)
耿203	2235.750	91.21	64.98	46.382	53.618	7.806	8.49	265.457	0.0	0.01	0.0	0.1	99.9	0.0	29.803	2.277	36.097	7.917		长4+5!1^(1_2)
耿203	2235.875	90.076	65.084	44.74	55.26	8.101	9.379	264.399	0.0	0.01	0.0	0.1	99.9	0.0	29.497	2.329	35.03	8.376		长4+5!1^(1_2)
耿203	2236.000	88.844	65.174	42.925	57.075	8.697	10.791	262.157	0.0	0.01	0.0	0.1	99.9	0.0	29.301	2.366	32.033	9.177		长4+5!1^(1_2)
耿203	2236.125	87.478	65.25	41.097	58.903	9.436	12.116	256.565	0.0	0.01	0.0	0.1	99.9	0.0	28.943	2.397	28.288	9.824		长4+5!1^(1_2)
耿203	2236.250	86.073	65.294	39.284	60.716	10.14	12.914	249.042	0.0	0.01	0.0	0.1	99.9	0.0	28.494	2.438	24.696	10.613		长4+5!1^(1_2)
耿203	2236.375	84.893	65.318	39.024	60.976	11.104	13.811	240.608	0.0	0.01	0.0	0.1	99.9	0.0	28.248	2.512	21.65	11.84		长4+5!1^(1_2)
耿203	2236.500	85.16	65.339	41.805	58.195	12.49	14.816	231.04	0.0	0.01	0.0	0.1	99.9	0.0	28.096	2.548	19.857	13.464		长4+5!1^(1_2)
耿203	2236.625	87.359	65.347	44.844	55.156	13.709	15.137	221.321	0.0	0.01	0.0	0.1	99.9	0.0	28.129	2.532	19.474	14.077		长4+5!1^(1_2)
耿203	2236.750	89.556	65.368	47.363	52.637	14.166	14.287	217.061	0.0	0.01	0.0	0.1	99.9	0.0	28.355	2.499	20.011	14.298		长4+5!1^(1_2)
耿203	2236.875	91.55	65.389	51.156	48.844	14.084	12.817	218.404	0.0	0.01	0.0	0.1	99.9	0.0	28.638	2.442	21.355	13.762		长4+5!1^(1_2)
耿203	2237.000	94.372	65.36	56.455	43.545	13.102	10.817	224.982	0.0	0.01	0.0	0.1	99.9	0.0	28.987	2.388	23.301	12.114		长4+5!1^(1_2)
耿203	2237.125	98.142	65.225	64.266	35.734	11.549	9.105	239.62	0.0	0.01	0.0	0.1	99.9	0.0	29.578	2.331	25.751	10.703		长4+5!1^(1_2)
耿203	2237.250	103.119	65.07	74.278	25.722	10.179	8.1	254.697	0.0	0.01	0.0	0.1	99.9	0.0	30.332	2.247	29.991	9.394		长4+5!1^(1_2)
耿203	2237.375	108.665	64.882	84.402	15.598	8.881	6.98	267.088	0.0	0.01	0.0	0.1	99.9	0.0	30.857	2.059	38.098	8.114		长4+5!1^(1_2)
耿203	2237.500	113.052	64.607	86.793	13.207	7.586	5.718	277.378	0.0	0.01	0.0	0.1	99.9	0.0	31.375	1.881	49.012	6.795		长4+5!1^(1_2)
耿203	2237.625	114.055	63.99	87.578	12.422	6.604	4.785	283.368	0.0	0.01	0.0	0.1	99.9	0.0	32.096	1.769	61.176	6.318		长4+5!1^(1_2)
耿203	2237.750	114.356	63.407	87.575	12.425	6.179	4.501	282.528	0.0	0.01	0.0	0.1	99.9	0.0	32.934	1.693	75.824	5.97		长4+5!1^(1_2)
耿203	2237.875	114.264	63.039	86.626	13.374	5.845	4.433	277.318	0.0	0.01	0.0	0.1	99.9	0.0	33.419	1.688	91.095	5.659		长4+5!1^(1_2)
耿203	2238.000	113.481	62.731	82.332	17.668	5.55	4.599	269.797	0.0	0.01	0.0	0.1	99.9	0.0	33.7	1.752	95.894	5.386		长4+5!1^(1_2)
耿203	2238.125	111.291	62.316	77.351	22.649	5.406	4.9	258.307	0.0	0.01	0.0	0.1	99.9	0.0	33.353	1.859	85.143	5.436		长4+5!1^(1_2)
耿203	2238.250	108.627	62.024	71.452	28.548	5.499	5.247	247.24	0.0	0.01	0.0	0.1	99.9	0.0	32.249	1.994	66.616	5.595		长4+5!1^(1_2)
耿203	2238.375	105.508	61.938	66.226	33.774	5.722	5.917	236.63	0.0	0.01	0.0	0.1	99.9	0.0	30.983	2.217	47.962	5.913		长4+5!1^(1_2)
耿203	2238.500	102.879	61.934	63.964	36.036	6.161	7.374	222.946	0.0	0.01	0.0	0.1	99.9	0.0	29.617	2.377	35.296	6.532		长4+5!1^(1_2)
耿203	2238.625	101.687	62.04	62.869	37.131	6.744	9.2	204.046	0.0	0.01	0.0	0.1	99.9	0.0	28.076	2.418	30.311	7.062		长4+5!1^(1_3)
耿203	2238.750	101.699	62.146	67.454	32.546	7.327	10.493	191.406	0.0	0.01	0.0	0.1	99.9	0.0	26.735	2.417	29.77	7.724		长4+5!1^(1_3)
耿203	2238.875	104.986	62.202	77.916	22.084	8.178	11.485	185.897	0.0	0.01	0.0	0.1	99.9	0.0	26.268	2.403	31.836	8.859		长4+5!1^(1_3)
耿203	2239.000	110.293	62.278	85.345	14.655	9.731	12.184	183.683	0.0	0.01	0.0	0.1	99.9	0.0	26.061	2.392	34.252	11.036		长4+5!1^(1_3)
耿203	2239.125	113.914	62.402	92.071	7.929	11.613	12.641	188.305	0.0	0.01	0.0	0.1	99.9	0.0	25.971	2.389	34.532	12.475		长4+5!1^(1_3)
耿203	2239.250	116.871	62.414	96.608	3.392	12.99	12.955	195.32	0.0	0.01	0.0	0.1	99.9	0.0	25.941	2.397	32.363	13.76		长4+5!1^(1_3)
耿203	2239.375	118.401	62.293	95.347	4.653	14.133	13.437	201.511	0.0	0.01	0.0	0.1	99.9	0.0	25.937	2.439	28.398	14.693		长4+5!1^(1_3)
耿203	2239.500	117.687	62.087	92.434	7.566	14.908	14.144	207.161	0.0	0.01	0.0	0.1	99.9	0.0	25.933	2.491	24.667	15.23		长4+5!1^(1_3)
耿203	2239.625	116.121	61.57	87.003	12.997	15.046	14.758	213.435	0.0	0.01	0.0	0.1	99.9	0.0	25.928	2.53	22.573	14.771		长4+5!1^(1_3)
耿203	2239.750	113.114	60.998	77.292	22.708	14.421	14.979	217.165	0.0	0.01	0.0	0.1	99.9	0.0	25.923	2.557	21.492	13.898		长4+5!1^(1_3)
耿203	2239.875	107.254	60.479	59.855	40.145	13.528	14.978	218.127	0.0	0.01	0.0	0.1	99.9	0.0	25.921	2.569	20.778	12.975		长4+5!1^(1_3)
耿203	2240.000	98.207	59.866	51.198	48.802	12.423	14.537	218.479	0.0	0.01	0.0	0.1	99.9	0.0	25.921	2.568	20.409	11.595		长4+5!1^(1_3)
耿203	2240.125	92.545	58.622	43.113	56.887	11.395	13.756	219.764	0.0	0.01	0.0	0.1	99.9	0.0	25.92	2.562	20.397	11.095		长4+5!1^(1_3)
耿203	2240.250	86.831	57.331	36.33	63.67	10.939	13.162	221.859	0.154	0.782	8.532	10.581	74.857	0.6	25.917	2.555	20.586	10.706		长4+5!1^(1_3)
耿203	2240.375	81.11	56.302	28.192	71.808	10.597	12.626	224.153	0.232	1.312	9.366	11.664	71.6	0.61	25.912	2.545	20.735	10.433	水层	长4+5!1^(1_3)
耿203	2240.500	74.676	55.31	24.596	75.404	10.296	11.982	226.26	0.359	1.706	10.255	12.29	70.428	0.624	25.907	2.536	20.524	10.091	水层	长4+5!1^(1_3)
耿203	2240.625	71.449	53.808	22.402	77.598	10.027	11.293	227.378	0.448	1.94	10.707	12.605	69.83	0.631	25.901	2.53	19.834	9.931	水层	长4+5!1^(1_3)
耿203	2240.750	69.242	52.407	20.388	79.612	9.87	10.882	226.955	0.491	1.989	10.892	12.692	70.016	0.638	25.896	2.526	18.833	9.78	水层	长4+5!1^(1_3)
耿203	2240.875	66.546	51.407	15.936	84.064	9.722	10.499	225.688	0.528	2.802	11.041	13.049	69.262	0.645	25.894	2.518	17.734	9.635	水层	长4+5!1^(1_3)
耿203	2241.000	61.942	50.508	13.401	86.599	9.53	10.02	224.523	0.629	3.562	11.399	13.245	69.464	0.658	25.894	2.508	16.985	9.374	水层	长4+5!1^(1_3)
耿203	2241.125	58.998	49.377	11.402	88.598	9.329	9.539	224.496	0.731	4.68	11.702	13.6	68.659	0.663	25.894	2.499	16.821	9.261	水层	长4+5!1^(1_3)
耿203	2241.250	56.619	48.536	10.028	89.972	9.233	9.299	225.872	0.885	6.066	12.093	14.037	67.463	0.666	25.892	2.488	17.083	9.192	水层	长4+5!1^(1_3)
耿203	2241.375	55.152	48.145	9.929	90.071	9.175	9.094	228.277	1.079	6.872	12.496	14.412	66.406	0.668	25.889	2.468	17.876	9.151	水层	长4+5!1^(1_3)
耿203	2241.500	55.623	47.896	12.156	87.844	9.161	8.909	231.442	1.239	5.92	12.777	14.547	65.9	0.666	25.883	2.45	19.204	9.176	水层	长4+5!1^(1_3)
耿203	2241.625	58.694	47.834	15.227	84.773	9.238	8.813	237.488	1.443	5.672	13.087	15.157	63.543	0.657	25.869	2.442	20.942	9.33	水层	长4+5!1^(1_3)
耿203	2241.750	62.588	48.007	19.072	80.928	9.463	8.874	243.244	1.587	5.658	13.282	15.256	62.228	0.64	25.846	2.44	23.053	9.661	水层	长4+5!1^(1_3)
耿203	2241.875	67.157	48.304	24.069	75.931	9.835	8.996	246.937	1.518	5.575	13.191	15.11	61.376	0.619	25.824	2.449	25.134	10.096	水层	长4+5!1^(1_3)
耿203	2242.000	71.858	48.67	26.583	73.417	10.398	9.29	249.265	1.345	5.874	12.945	15.069	59.437	0.587	25.804	2.466	25.985	10.851	水层	长4+5!1^(1_3)
耿203	2242.125	74.17	49.346	28.329	71.671	10.977	9.752	248.582	1.154	5.002	12.633	14.591	60.005	0.575	25.788	2.481	25.181	11.165	水层	长4+5!1^(1_3)
