井名	深度	GR	SP	RT	AC	CNL	DEN	RT.1	RT.2	RT.3	RT.4	RT.5	RT.6	RT.7	RT.8	RT.9	解释结论	层位
苏257	2242.000	91.562	70.222	10.775	232.085	25.748	2.591	12.204	11.198	11.84	10.944	10.811	11.248	11.415	17.149	17.806		chang4+5
苏257	2242.125	84.796	70.033	11.301	229.574	25.77	2.586	12.672	11.634	12.591	11.479	11.332	11.73	11.819	18.999	19.554		chang4+5
苏257	2242.250	80.293	69.809	11.977	227.762	26.164	2.582	13.07	12.16	13.356	12.15	11.998	12.309	12.286	20.558	20.88		chang4+5
苏257	2242.375	81.848	69.617	12.726	226.425	25.753	2.579	13.385	12.699	14.065	12.88	12.734	12.908	12.738	21.695	21.668		chang4+5
苏257	2242.500	86.533	69.527	13.477	225.679	24.929	2.57	13.615	13.191	14.672	13.591	13.466	13.463	13.122	22.444	22.043		chang4+5
苏257	2242.625	91.256	69.569	14.165	226.653	25.798	2.569	13.727	13.602	15.089	14.223	14.132	13.935	13.42	22.632	21.859		chang4+5
苏257	2242.750	91.438	69.721	14.738	229.653	26.041	2.572	13.699	13.917	15.252	14.733	14.683	14.301	13.63	22.187	21.023		chang4+5
苏257	2242.875	91.354	69.901	15.108	233.688	27.128	2.567	13.551	14.085	15.16	15.039	15.034	14.505	13.717	21.321	19.822		chang4+5
苏257	2243.000	92.973	70.033	15.218	237.622	27.692	2.546	13.339	14.08	14.895	15.092	15.133	14.514	13.665	20.187	18.485		chang4+5
苏257	2243.125	95.225	70.083	15.106	240.181	27.236	2.538	13.06	13.94	14.487	14.933	15.013	14.367	13.511	18.902	17.102		chang4+5
苏257	2243.250	100.484	70.079	14.817	240.649	26.884	2.559	12.712	13.699	13.979	14.608	14.721	14.1	13.287	17.74	15.969		chang4+5
苏257	2243.375	106.503	70.048	14.389	240.014	27.523	2.594	12.387	13.37	13.513	14.157	14.297	13.731	12.993	16.856	15.276		chang4+5
苏257	2243.500	112.456	69.991	13.898	239.656	28.854	2.612	12.151	12.994	13.184	13.652	13.813	13.305	12.656	16.249	14.856		chang4+5
苏257	2243.625	121.525	69.899	13.464	240.375	30.436	2.607	12.072	12.658	13.062	13.209	13.389	12.916	12.351	15.938	14.692		chang4+5
苏257	2243.750	132.367	69.771	13.177	243.355	32.43	2.583	12.193	12.438	13.155	12.92	13.114	12.645	12.148	15.697	14.682		chang4+5
苏257	2243.875	138.588	69.622	13.087	249.472	33.037	2.548	12.527	12.387	13.433	12.833	13.036	12.544	12.102	15.045	14.306		chang4+5
苏257	2244.000	137.721	69.502	13.215	256.921	33.124	2.519	12.851	12.546	13.596	12.971	13.175	12.654	12.264	13.999	13.397		chang4+5
苏257	2244.125	131.443	69.462	13.468	263.285	32.084	2.507	12.498	12.861	12.954	13.246	13.439	12.917	12.596	12.894	12.243		chang4+5
苏257	2244.250	126.769	69.522	13.451	267.147	30.759	2.507	10.944	12.976	11.058	13.268	13.432	12.981	12.763	11.903	11.099		chang4+5
苏257	2244.375	125.105	69.653	12.536	264.414	29.076	2.519	9.082	12.267	8.96	12.411	12.526	12.23	12.144	11.372	10.374		chang4+5
苏257	2244.500	122.189	69.807	10.652	256.659	27.352	2.555	8.144	10.6	7.888	10.589	10.647	10.542	10.575	11.493	10.528		chang4+5
苏257	2244.625	114.052	69.925	8.813	248.002	26.837	2.579	8.569	8.909	8.163	8.795	8.81	8.85	8.956	12.165	11.407		chang4+5
苏257	2244.750	103.679	69.966	8.03	240.448	26.269	2.574	9.797	8.219	9.192	8.035	8.027	8.158	8.313	13.089	12.351		chang4+5
苏257	2244.875	96.936	69.906	8.392	235.848	25.708	2.573	10.941	8.687	10.195	8.409	8.385	8.614	8.837	14.1	13.205		chang4+5
苏257	2245.000	96.886	69.776	9.361	234.128	24.588	2.586	11.482	9.774	10.773	9.385	9.346	9.686	9.988	15.011	13.832		chang4+5
苏257	2245.125	100.185	69.63	10.262	233.278	23.9	2.596	11.677	10.736	11.147	10.277	10.234	10.645	10.988	15.42	13.995		chang4+5
苏257	2245.250	103.925	69.531	10.828	232.605	23.809	2.584	11.772	11.262	11.511	10.818	10.785	11.188	11.499	15.537	13.991		chang4+5
苏257	2245.375	102.14	69.512	11.211	231.648	23.722	2.57	11.815	11.512	11.891	11.161	11.152	11.472	11.69	15.677	14.028		chang4+5
苏257	2245.500	93.189	69.554	11.58	230.403	24.301	2.577	11.795	11.687	12.243	11.481	11.503	11.693	11.776	15.946	14.061		chang4+5
苏257	2245.625	87.725	69.592	11.951	228.911	23.916	2.601	11.755	11.823	12.594	11.799	11.858	11.884	11.808	16.445	14.225		chang4+5
苏257	2245.750	89.674	69.559	12.304	226.899	22.874	2.623	11.811	11.915	13.049	12.099	12.196	12.036	11.787	17.231	14.632		chang4+5
苏257	2245.875	94.903	69.432	12.679	224.841	22.383	2.63	12.022	12.013	13.657	12.419	12.554	12.2	11.77	18.335	15.35		chang4+5
苏257	2246.000	98.651	69.233	13.162	223.416	21.963	2.619	12.359	12.211	14.371	12.848	13.021	12.468	11.855	19.68	16.387		chang4+5
苏257	2246.125	100.138	68.997	13.789	223.038	22.368	2.609	12.668	12.555	14.979	13.426	13.632	12.888	12.09	20.863	17.313		chang4+5
苏257	2246.250	99.943	68.735	14.475	223.579	22.702	2.604	12.836	12.976	15.317	14.071	14.303	13.389	12.414	21.454	17.792		chang4+5
